LAMMPS data file via write_data, version 2 Aug 2023, timestep = 27000000, units = metal

10000 atoms
2 atom types

25.47163289911647 74.52836710082875 xlo xhi
25.47163289911647 74.52836710082875 ylo yhi
25.47163289911647 74.52836710082875 zlo zhi

Masses

1 26.982
2 15.999

Atoms # atomic

8810 2 26.865557490850897 27.347409149426724 28.423612584222358 2 1 2
2483 1 28.539226606975976 27.63126398749763 29.017964846877828 2 3 2
75 1 26.111990711107268 28.089581003403925 26.941529780814285 1 1 2
1825 1 28.961308233347214 27.059677421152127 26.019525982476548 2 -1 -1
5168 2 27.6294642981567 28.44372851343511 26.01848246432771 -1 0 1
6061 2 29.279516682031833 26.544222206407078 27.817922685025547 2 1 1
9937 2 28.617667289685436 29.435004692047183 28.56505187994547 0 2 0
5789 2 27.69205297881963 25.870655631601814 25.503729220512163 1 1 0
753 1 25.47394383365194 26.906978082431866 29.557715132336114 -1 2 2
3146 1 31.828447880511373 28.250703768415754 26.298689387627263 1 0 2
7085 2 31.984348398974536 26.90738824438629 27.5567850348921 3 1 4
8658 2 30.151848264038378 28.670924859012707 26.342746006748765 0 1 -1
206 1 32.51653030643112 27.20297808106635 29.3290898250913 0 -1 2
2054 1 30.758902582518893 25.712893748073103 27.397078252251685 0 -1 3
9648 2 30.19020142897878 25.583104356722146 25.672565054991818 1 0 4
2334 1 35.53895038802511 27.16514495867872 28.16701000078853 3 0 3
7584 2 35.10326754588824 28.833697910773775 28.064097269655385 -2 0 -1
9350 2 35.845707533207694 26.20905511006205 26.766814834160225 2 0 -1
5642 2 34.123899958667494 26.385283021601335 29.07921160624789 2 2 -2
6579 2 36.888582813893464 27.086801427716697 29.377286016150542 0 0 1
1136 1 37.73273848567483 28.651243635031722 29.406568890344765 2 -3 0
8158 2 37.77429898920383 29.11414805077372 27.682503549867786 -1 1 1
558 1 39.05938150052486 28.6876664514812 26.407603055845176 -2 0 1
1025 1 40.77726605908701 28.551215058082345 28.673230345835417 -1 0 3
6326 2 40.801692936380014 26.94127649673621 27.950167460670222 0 0 3
9689 2 39.83987794216575 27.321840312966867 25.600475787289216 0 1 0
2123 1 41.546253843900004 26.7471011044716 26.163560087009124 3 -1 -2
2157 1 43.763540441893085 28.118983956250638 28.81336315264772 -3 1 0
3489 1 44.55491821359992 26.376458825285223 26.58644881560556 -2 3 -2
7274 2 43.07044637848358 27.287429466898185 27.07425191180617 0 -1 -1
9663 2 45.36733443999057 27.186945206241838 27.951963727461433 2 2 2
7617 2 42.31298976176869 29.373722929115715 29.126751115959923 0 0 -1
5778 2 47.54426393112037 28.930217261821205 28.926148093039014 0 0 1
151 1 46.77403825177472 27.256344468755383 28.950347930109313 -2 0 0
9578 2 47.85143161922258 26.086332090902026 28.355925410165984 1 1 3
6612 2 48.21395954457151 28.405590537921384 25.990923265753413 2 1 4
1621 1 49.59723115368324 25.911832626843115 27.824257753985258 1 0 -1
5324 2 49.5845486825001 25.83372876130842 25.962669781405715 3 -3 4
3945 1 49.95326656946886 27.621377637225656 25.749176530458865 -2 1 -2
2038 1 48.272684404565226 29.478700542597764 27.426464831378876 -2 3 -2
7606 2 50.24348729266302 27.615373113685806 27.552825287534418 -2 -4 0
4515 2 52.620949045130175 28.79287842988183 27.177589120531376 0 0 0
942 1 51.22937409989221 29.080508133953195 28.39446826456947 -1 1 1
